province_code,province_name,city,site_name,latitude,longitude,medium,contamination_type,contamination_group,site_count,cost_min_cad_per_tonne,cost_max_cad_per_tonne,cost_mid_cad_per_tonne,city_adjusted_mid_cad_per_tonne
ON,Ontario,Ottawa,Aylmer Island LL 1299 - Vicinity of the previous lightstation and associated buildings,45.397222,-75.888556,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,"Bank St, Conroy Rd, Park Lane (next to 3637 Bank Street)",45.340196,-75.607168,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,"Bank St, Conroy Rd, Park Lane (next to 3637 Bank Street)",45.340196,-75.607168,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,"Bank St, Conroy Rd, Park Lane (next to 3637 Bank Street)",45.340196,-75.607168,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,Bank Street/Highway 31 at Leitrim Road,45.334405,-75.599756,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,Baskin's Beach Range - Front Range Tower,45.479611,-76.007139,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,Baskin's Beach Range - Front Range Tower,45.479611,-76.007139,Surface soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,Baskin's Beach Range - Rear Range Tower,45.478028,-76.003417,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,Baskin's Beach Range - Rear Range Tower,45.478028,-76.003417,Surface soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,Bate Island,45.408730,-75.756124,Groundwater,"BTEXs (benzene, toluene, ethylbenzene, and xylene)",Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,Bate Island,45.408730,-75.756124,Groundwater,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,Bayview,45.408458,-75.727086,Groundwater,Halogenated Hydrocarbon,Industrial Acids/Solvents,1,450,900,675,688.5
ON,Ontario,Ottawa,Bayview,45.408458,-75.727086,Soil,Halogenated Hydrocarbon,Industrial Acids/Solvents,1,450,900,675,688.5
ON,Ontario,Ottawa,Bells Corners Complex,45.320459,-75.862178,Groundwater,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),2,180,280,230,234.6
ON,Ontario,Ottawa,Bells Corners Complex,45.320459,-75.862178,Groundwater,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,Bells Corners Complex,45.320459,-75.862178,Not Available,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,Bells Corners Complex,45.320459,-75.862178,Not Available,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,Bells Corners Complex,45.320459,-75.862178,Sediment,"Metal, metalloid, and organometallic",Unknown,2,,,,
ON,Ontario,Ottawa,Bells Corners Complex,45.320459,-75.862178,Surface soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,Bells Corners Complex,45.320459,-75.862178,Surface water,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,Birks Building,45.422840,-75.697992,Air,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,Birks Building,45.422840,-75.697992,Air,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,Birks Building,45.422840,-75.697992,Groundwater,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
